['羽毛球集锦', ['羽毛球', '集锦', '空', '空', '空'], ['体育其它', '体育类'], ['中央电视台体育频道']]
['卫视高尔夫', ['卫视', '高尔夫', '空', '空', '空'], ['高尔夫', '体育类'], ['海南广播电视台旅游卫视频道']]
['梦想星搭档', ['梦想', '星', '搭档', '空', '空'], ['综艺其它', '真人秀'], ['中央电视台音乐频道']]
['英雄祭', ['英雄', '祭', '空', '空', '空'], ['近代传奇', '电视剧类'], ['BTV-影视']]
['世界夏季大学生运动会体操', ['世界', '夏季', '大学生', '运动会', '体操'], ['体操', '体育类'], ['中央电视台体育频道']]
['无名高地', ['无名', '高地', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['欧洲运动会体操', ['欧洲', '运动会', '体操', '空', '空'], ['体操', '体育类'], ['中央电视台体育频道']]
['我为儿孙当北漂', ['我', '为', '儿孙', '当北', '漂'], ['都市生活', '电视剧类'], ['江苏电视台新闻综合卫视频道']]
['精彩中国说', ['精彩', '中国', '说', '空', '空'], ['真人秀', '综艺类'], ['山东电视台卫星频道']]
['财富之道', ['财富', '之道', '空', '空', '空'], ['投资/理财', '财经类'], ['中国教育电视台综合教育频道']]
['猎豹出击', ['猎豹', '出击', '空', '空', '空'], ['电影类', '内地电影'], ['黑龙江电视台卫视频道']]
['兰辉', ['兰辉', '空', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['中国好人', ['中国', '好人', '空', '空', '空'], ['专题类', '专题片'], ['辽宁广播电视台卫视频道']]
['错点鸳鸯', ['错点', '鸳鸯', '空', '空', '空'], ['电影类', '港澳台电影'], ['BTV-影视']]
['阿U之开心童年', ['阿', 'U', '之', '开心', '童年'], ['动画', '青少类'], ['中央电视台少儿频道']]
['食全食美', ['食全食', '美', '空', '空', '空'], ['生活服务类', '饮食'], ['BTV-生活']]
['藏龙卧虎', ['藏龙卧虎', '空', '空', '空', '空'], ['真人秀', '财经类'], ['天津广播电视台卫视频道']]
['财经郎眼', ['财经', '郎眼', '空', '空', '空'], ['财经专题', '财经类'], ['广东电视台卫视频道']]
['忘了去懂你', ['忘', '了', '去', '懂', '你'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['劲舞苍穹第二部', ['劲舞', '苍穹', '第二部', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['雳剑', ['雳', '剑', '空', '空', '空'], ['战争', '电视剧类'], ['云南电视台卫视频道']]
['大笑江湖', ['大笑', '江湖', '空', '空', '空'], ['内地电影', '电影类'], ['广东电视台卫视频道']]
['文学英雄', ['文学', '英雄', '空', '空', '空'], ['真人秀', '综艺类'], ['河南电视台卫视频道']]
['龙凤娇', ['龙凤', '娇', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['呼噜小精灵第三部', ['呼噜', '小精灵', '第三部', '空', '空'], ['少儿', '电视剧类'], ['中央电视台少儿频道']]
['上海滩十三勇士', ['上海滩', '十三', '勇士', '空', '空'], ['内地电影', '电影类'], ['广东电视台卫视频道']]
['企业风云路', ['企业', '风云', '路', '空', '空'], ['专题类', '访谈'], ['中国教育电视台综合教育频道']]
['大秦腔戏台', ['大', '秦腔戏', '台', '空', '空'], ['地方戏曲', '戏剧类'], ['陕西电视台卫视频道']]
['两生花', ['两生花', '空', '空', '空', '空'], ['爱情言情', '电视剧类'], ['江苏电视台新闻综合卫视频道']]
['相爱一刻', ['相爱', '一刻', '空', '空', '空'], ['真人秀', '综艺类'], ['江苏电视台新闻综合卫视频道']]
['幸福的味道', ['幸福', '的', '味道', '空', '空'], ['生活服务类', '饮食'], ['北京卫视']]
['创造科技的力量', ['创造', '科技', '的', '力量', '空'], ['专题类', '专题片'], ['中央电视台科教频道']]
['谍影重重', ['谍影', '重重', '空', '空', '空'], ['其它国家电影', '电影类'], ['四川广播电视台卫视频道']]
['敌后武工队', ['敌后', '武工队', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['英雄前传', ['英雄', '前传', '空', '空', '空'], ['真人秀', '综艺类'], ['江苏电视台新闻综合卫视频道']]
['新杏坛', ['新', '杏坛', '空', '空', '空'], ['教学类', '课堂/讲座'], ['山东电视台卫星频道']]
['精彩回放', ['精彩', '回放', '空', '空', '空'], ['戏剧其它', '戏剧类'], ['中央电视台体育频道']]
['高海拔之恋第二部', ['高', '海拔', '之恋', '第二部', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['博乐先生微逗秀', ['博乐', '先生', '微逗秀', '空', '空'], ['单项艺术', '现场互动娱乐'], ['中央电视台财经频道']]
['东西宫略', ['东西', '宫略', '空', '空', '空'], ['爱情言情', '电视剧类'], ['中国教育电视台综合教育频道']]
['黑夜天使', ['黑夜', '天使', '空', '空', '空'], ['悬疑', '电视剧类'], ['BTV-科教']]
['选美', ['选美', '空', '空', '空', '空'], ['内地电影', '电影类'], ['四川广播电视台卫视频道']]
['我的儿子是奇葩', ['我', '的', '儿子', '是', '奇葩'], ['都市生活', '电视剧类'], ['BTV-青年']]
['健康有故事', ['健康', '有', '故事', '空', '空'], ['健康', '生活服务类'], ['陕西电视台卫视频道']]
['山河恋', ['山河', '恋', '空', '空', '空'], ['爱情言情', '电视剧类'], ['北京电视台高清频道']]
['最佳爱情', ['最佳', '爱情', '空', '空', '空'], ['爱情言情', '电视剧类'], ['BTV-青年']]
['我的抗战', ['我', '的', '抗战', '空', '空'], ['战争', '电视剧类'], ['辽宁广播电视台卫视频道']]
['亲诚惠容合作共赢', ['亲诚惠容', '合作', '共赢', '空', '空'], ['专题类', '专题片'], ['云南电视台卫视频道']]
['天生有福', ['天生', '有福', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['626国际禁毒日直播特别节目', ['626', '国际禁毒日', '直播', '特别节目', '空'], ['法治类', '法治专题'], ['中央电视台社会与法']]
['专列一号', ['专列', '一号', '空', '空', '空'], ['反特/谍战', '电视剧类'], ['陕西电视台卫视频道']]
['非常小特务第四部', ['非常', '小', '特务', '第四部', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['中国教育报道', ['中国', '教育', '报道', '空', '空'], ['新闻/时事其它', '新闻/时事类'], ['中国教育电视台综合教育频道']]
['麦积山石窟', ['麦积山', '石窟', '空', '空', '空'], ['专题类', '专题片'], ['中央电视台新闻综合频道']]
['收藏马未都', ['收藏', '马未', '都', '空', '空'], ['财经类', '收藏/鉴宝'], ['广西电视台卫视频道']]
['老板变形记', ['老板', '变形记', '空', '空', '空'], ['真人秀', '综艺类'], ['天津广播电视台卫视频道']]
['斯诺克上海大师赛', ['斯诺克', '上海', '大师赛', '空', '空'], ['台球', '体育类'], ['BTV-体育']]
['心理访谈', ['心理', '访谈', '空', '空', '空'], ['专题类', '生活服务类'], ['中央电视台社会与法']]
['熊出没之过年', ['熊出没', '之', '过年', '空', '空'], ['电影其它', '电影类'], ['中央电视台少儿频道']]
['盖世武生', ['盖世', '武生', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['火烧红莲寺', ['火烧', '红莲寺', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['枕边人', ['枕边人', '空', '空', '空', '空'], ['内地电影', '电影类'], ['四川广播电视台卫视频道']]
['神探狄仁杰第二部', ['神探', '狄仁杰', '第二部', '空', '空'], ['悬疑', '电视剧类'], ['中央电视台少儿频道']]
['山西新闻联播', ['山西', '新闻联播', '空', '空', '空'], ['新闻/时事类', '综合新闻'], ['山西广播电视台卫视频道']]
['我爱桃花源', ['我', '爱', '桃花源', '空', '空'], ['综艺竞技游戏', '综艺类'], ['安徽广播电视台卫视频道']]
['碧血剑', ['碧血剑', '空', '空', '空', '空'], ['港澳台电影', '电影类'], ['深圳市电视台卫视频道']]
['江湖正道', ['江湖', '正道', '空', '空', '空'], ['近代传奇', '电视剧类'], ['BTV-青年']]
['龙威父子', ['龙威', '父子', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['楚留香', ['楚留香', '空', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['老有所依', ['老', '有所', '依', '空', '空'], ['社会伦理', '电视剧类'], ['BTV-影视']]
['一起音乐吧', ['一起', '音乐吧', '空', '空', '空'], ['综艺其它', '现场互动娱乐'], ['中央电视台音乐频道']]
['笑吧妈妈', ['笑', '吧', '妈妈', '空', '空'], ['社会伦理', '电视剧类'], ['中央电视台电视剧频道']]
['神通乡巴佬', ['神通', '乡巴佬', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['雾都', ['雾都', '空', '空', '空', '空'], ['近代传奇', '电视剧类'], ['中央电视台电视剧频道']]
['爱情呼叫转移', ['爱情', '呼叫转移', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['杨过与小龙女', ['杨过', '与', '小龙女', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['情逢敌手', ['情逢', '敌手', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['黄金缉私队', ['黄金', '缉私队', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['亚洲男子篮球锦标赛', ['亚洲', '男子篮球', '锦标赛', '空', '空'], ['篮球', '体育类'], ['中央电视台体育频道']]
['体育世界', ['体育', '世界', '空', '空', '空'], ['体育新闻', '体育类'], ['中央电视台体育频道']]
['街头之王', ['街头', '之王', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['法治进行时', ['法治', '进行', '时', '空', '空'], ['法治类', '法治专题'], ['BTV-科教']]
['筑梦中国', ['筑梦', '中国', '空', '空', '空'], ['专题类', '专题片'], ['中央电视台新闻综合频道']]
['中美拳王争霸赛', ['中', '美', '拳王', '争霸赛', '空'], ['搏击', '体育类'], ['青海电视台卫视频道']]
['颠佬正传', ['颠佬', '正传', '空', '空', '空'], ['港澳台电影', '电影类'], ['重庆电视台卫视频道']]
['吃喝的学问', ['吃喝', '的', '学问', '空', '空'], ['其它类', '广告'], ['江西电视台卫视频道']]
['塞上情仇', ['塞上', '情仇', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['怪拳怪招怪师傅', ['怪拳', '怪招', '怪', '师傅', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['神秘翼龙岛', ['神秘', '翼龙岛', '空', '空', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['华工军团', ['华工', '军团', '空', '空', '空'], ['专题类', '专题片'], ['江苏电视台新闻综合卫视频道']]
['冲吧汪汪汪', ['冲', '吧', '汪汪', '汪', '空'], ['青少综艺', '青少类'], ['卡酷动画']]
['文明之旅', ['文明', '之旅', '空', '空', '空'], ['专题类', '访谈'], ['中央电视台中文国际频道亚洲版']]
['新闻大求真', ['新闻', '大', '求真', '空', '空'], ['科普', '专题类'], ['湖南广播电视台卫视频道']]
['产科医生', ['产科医生', '空', '空', '空', '空'], ['都市生活', '电视剧类'], ['BTV-青年']]
['胡杨女人', ['胡杨', '女人', '空', '空', '空'], ['奋斗励志', '电视剧类'], ['中央电视台电视剧频道']]
['一生一世', ['一生一世', '空', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['肝胆照江湖', ['肝胆', '照', '江湖', '空', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['外星奇遇', ['外星', '奇遇', '空', '空', '空'], ['电影其它', '电影类'], ['中央电视台电影频道']]
['我老公不靠谱', ['我', '老公', '不靠', '谱', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['烽卷黑土地', ['烽卷', '黑土地', '空', '空', '空'], ['专题类', '专题片'], ['江苏电视台新闻综合卫视频道']]
['国际篮联世界3对3大师赛', ['国际', '篮联', '世界', '3', '对'], ['篮球', '体育类'], ['中央电视台体育频道']]
['蓝色狂想曲', ['蓝色', '狂想曲', '空', '空', '空'], ['内地电影', '电影类'], ['浙江电视台卫视频道']]
['太行山上', ['太行山', '上', '空', '空', '空'], ['战争', '内地电影'], ['中央电视台新闻综合频道']]
['川军团血战到底', ['川', '军团', '血战到底', '空', '空'], ['战争', '电视剧类'], ['西藏电视台汉语卫视']]
['外姓兄弟', ['外姓', '兄弟', '空', '空', '空'], ['时代变迁', '电视剧类'], ['中央电视台电视剧频道']]
['红旗飘飘七一戏曲演唱会', ['红旗飘飘', '七一', '戏曲', '演唱会', '空'], ['戏曲晚会', '戏剧类'], ['中央电视台戏曲频道']]
['内蒙古新闻联播', ['内蒙古', '新闻联播', '空', '空', '空'], ['新闻/时事类', '综合新闻'], ['内蒙古电视台卫视频道']]
['薛平贵与王宝钏', ['薛平贵', '与', '王宝钏', '空', '空'], ['民间传奇', '电视剧类'], ['中央电视台戏曲频道']]
['赛尔号之战神风云决', ['赛尔', '号', '之', '战神', '风云'], ['动画', '青少类'], ['湖南广播电视台金鹰卡通频道']]
['太阳浩劫', ['太阳', '浩劫', '空', '空', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['超级马力', ['超级', '马力', '空', '空', '空'], ['生活服务类', '汽车'], ['海南广播电视台旅游卫视频道']]
['邻里之间', ['邻里', '之间', '空', '空', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['世界羽联超级系列赛', ['世界', '羽联', '超级', '系列赛', '空'], ['羽毛球', '体育类'], ['BTV-体育']]
['傻儿传奇', ['傻儿', '传奇', '空', '空', '空'], ['情景喜剧', '电视剧类'], ['重庆电视台卫视频道']]
['迅雷之旅', ['迅雷', '之旅', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['狙击手的较量', ['狙击手', '的', '较量', '空', '空'], ['战争', '电视剧类'], ['中央电视台电视剧频道']]
['中国梦新歌展播', ['中国', '梦新歌', '展播', '空', '空'], ['音乐其它', '音乐类'], ['中央电视台军事农业频道']]
['医道人生', ['医道', '人生', '空', '空', '空'], ['健康', '生活服务类'], ['青海电视台卫视频道']]
['蔚蓝的故乡', ['蔚蓝', '的', '故乡', '空', '空'], ['专题类', '专题其它'], ['内蒙古电视台卫视频道']]
['蜀山新蜀山剑侠', ['蜀山', '新', '蜀山', '剑侠', '空'], ['港澳台电影', '电影类'], ['广东电视台卫视频道']]
['镖行天下前传系列电影', ['镖', '行天下', '前传', '系列', '电影'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['甲午', ['甲午', '空', '空', '空', '空'], ['专题类', '专题片'], ['中央电视台新闻频道']]
['虎皮枫木', ['虎皮', '枫木', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['啼笑情缘', ['啼笑', '情缘', '空', '空', '空'], ['内地电影', '电影类'], ['江西电视台卫视频道']]
['易时间', ['易', '时间', '空', '空', '空'], ['专题类', '访谈'], ['安徽广播电视台卫视频道']]
['铁猴子传奇之花影危机', ['铁', '猴子', '传奇', '之', '花影'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['海底大冒险', ['海底', '大冒险', '空', '空', '空'], ['电影其它', '电影类'], ['中央电视台电影频道']]
['天天加油站', ['天天', '加油站', '空', '空', '空'], ['生活服务类', '导视'], ['福建电视台东南卫视频道']]
['时尚中国', ['时尚', '中国', '空', '空', '空'], ['美容/服饰', '生活服务类'], ['广西电视台卫视频道']]
['刀影', ['刀影', '空', '空', '空', '空'], ['历史故事', '电视剧类'], ['四川广播电视台卫视频道']]
['中国人民抗日战争暨世界反法西斯战争胜利70周年纪念大会', ['中国', '人民', '抗日战争', '暨', '世界反法西斯战争'], ['专题类', '大型专题活动'], ['中央电视台军事农业频道']]
['错配鸳鸯', ['错配', '鸳鸯', '空', '空', '空'], ['电影类', '港澳台电影'], ['重庆电视台卫视频道']]
['书画鉴赏', ['书画', '鉴赏', '空', '空', '空'], ['其它类', '广告'], ['浙江电视台卫视频道']]
['掌门人', ['掌门人', '空', '空', '空', '空'], ['港澳台电影', '电影类'], ['广东电视台卫视频道']]
['情人石', ['情人', '石', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['千洞岛抗倭记', ['千洞', '岛', '抗倭', '记', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['内线', ['内线', '空', '空', '空', '空'], ['反特/谍战', '电视剧类'], ['宁夏电视台卫视频道']]
['晶码战士DISTAL4', ['晶码', '战士', 'DISTAL4', '空', '空'], ['动画', '青少类'], ['中央电视台少儿频道']]
['侠僧探案传奇系列电影', ['侠僧', '探案', '传奇', '系列', '电影'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['福建卫视新闻', ['福建', '卫视', '新闻', '空', '空'], ['新闻/时事类', '综合新闻'], ['福建电视台东南卫视频道']]
['铁猴子传奇之怒火狼牙', ['铁', '猴子', '传奇', '之', '怒火'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['微讲堂', ['微', '讲堂', '空', '空', '空'], ['教学类', '课堂/讲座'], ['山东教育']]
['道德与法治', ['道德', '与', '法治', '空', '空'], ['法治类', '法治专题'], ['山东电视台卫星频道']]
['中国梦滇沪情中国聂耳音乐合唱周滇沪歌手唱云南音乐会', ['中国', '梦', '滇沪情', '中国', '聂耳'], ['音乐类', '音乐会'], ['云南电视台卫视频道']]
['北京海洋沙滩狂欢节', ['北京', '海洋', '沙滩', '狂欢节', '空'], ['综艺其它', '综艺类'], ['BTV-体育']]
['马兰花开', ['马兰花', '开', '空', '空', '空'], ['专题类', '专题片'], ['内蒙古电视台卫视频道']]
['斗气冤家', ['斗气', '冤家', '空', '空', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['非去不可趣玩吧', ['非去不可', '趣', '玩吧', '空', '空'], ['旅游', '生活服务类'], ['海南广播电视台旅游卫视频道']]
['三进山城', ['三进', '山城', '空', '空', '空'], ['战争', '内地电影'], ['中央电视台戏曲频道']]
['双龙会', ['双龙', '会', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['生死路', ['生死', '路', '空', '空', '空'], ['内地电影', '电影类'], ['江西电视台卫视频道']]
['绝密往事', ['绝密', '往事', '空', '空', '空'], ['专题类', '专题其它'], ['辽宁广播电视台卫视频道']]
['暴走妈妈', ['暴走', '妈妈', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['弹无虚发系列电影', ['弹无虚发', '系列', '电影', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['私人订制', ['私人', '订制', '空', '空', '空'], ['内地电影', '电影类'], ['广东电视台卫视频道']]
['玛莎与魔法果实', ['玛莎', '与', '魔法', '果实', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['公主驾到', ['公主', '驾到', '空', '空', '空'], ['电影其它', '电影类'], ['四川广播电视台卫视频道']]
['寻找最美花园', ['寻找', '最美', '花园', '空', '空'], ['旅游', '生活服务类'], ['中央电视台中文国际频道亚洲版']]
['斗魂', ['斗魂', '空', '空', '空', '空'], ['亚洲国家电影', '电影类'], ['中央电视台电影频道']]
['交易时间', ['交易', '时间', '空', '空', '空'], ['财经类', '股市行情'], ['中央电视台财经频道']]
['上海滩特派员', ['上海滩', '特派员', '空', '空', '空'], ['港澳台电影', '电影类'], ['重庆电视台卫视频道']]
['歼十出击', ['歼十', '出击', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['文化视点', ['文化', '视点', '空', '空', '空'], ['专题类', '专题其它'], ['中央电视台综艺频道']]
['行者', ['行者', '空', '空', '空', '空'], ['旅游', '生活服务类'], ['海南广播电视台旅游卫视频道']]
['天天饮食', ['天天', '饮食', '空', '空', '空'], ['生活服务类', '饮食'], ['中央电视台中文国际频道亚洲版']]
['健康访谈', ['健康', '访谈', '空', '空', '空'], ['其它类', '广告'], ['新疆电视台汉语卫视频道']]
['环青海湖国际公路自行车赛开幕式', ['环', '青海湖', '国际', '公路', '自行车赛'], ['运动会开(闭)幕式', '体育类'], ['中央电视台体育频道']]
['新女婿时代', ['新', '女婿', '时代', '空', '空'], ['都市生活', '电视剧类'], ['BTV-影视']]
['娱乐星周刊', ['娱乐', '星', '周刊', '空', '空'], ['综艺娱乐报道', '综艺类'], ['福建电视台东南卫视频道']]
['全国汽车场地越野锦标赛', ['全国', '汽车', '场地', '越野', '锦标赛'], ['赛车', '体育类'], ['中央电视台体育频道']]
['白发魔女传第二部', ['白发', '魔女传', '第二部', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['摩尔庄园之魔幻列车大冒险', ['摩尔', '庄园', '之', '魔幻', '列车'], ['电影其它', '电影类'], ['湖南广播电视台金鹰卡通频道']]
['灿烂人生', ['灿烂', '人生', '空', '空', '空'], ['爱情言情', '电视剧类'], ['江西电视台卫视频道']]
['完美婚礼', ['完美', '婚礼', '空', '空', '空'], ['都市生活', '电视剧类'], ['江苏电视台新闻综合卫视频道']]
['大女侠与小郎中', ['大', '女侠', '与', '小', '郎中'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['龙武士', ['龙', '武士', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['影子神鞭', ['影子', '神鞭', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['风尘女侠吕四娘', ['风尘', '女侠', '吕四娘', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['双枪李向阳之再战松井', ['双枪', '李向阳', '之', '再战', '松井'], ['近代传奇', '电视剧类'], ['西藏电视台汉语卫视']]
['和平使命', ['和平', '使命', '空', '空', '空'], ['军旅生活', '电视剧类'], ['宁夏电视台卫视频道']]
['璀璨人生', ['璀璨', '人生', '空', '空', '空'], ['都市生活', '电视剧类'], ['福建电视台东南卫视频道']]
['男人上路', ['男人', '上路', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['迷失疯人院', ['迷失', '疯人院', '空', '空', '空'], ['内地电影', '电影类'], ['四川广播电视台卫视频道']]
['失恋33天', ['失恋', '33', '天', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['在那一九四一年', ['在', '那', '一九四一年', '空', '空'], ['战争', '电视剧类'], ['中央电视台电视剧频道']]
['鸿运当头', ['鸿运', '当头', '空', '空', '空'], ['益智/竞猜游戏', '综艺类'], ['安徽广播电视台卫视频道']]
['超级旅行团', ['超级', '旅行团', '空', '空', '空'], ['旅游', '生活服务类'], ['海南广播电视台旅游卫视频道']]
['虎穴追踪', ['虎穴', '追踪', '空', '空', '空'], ['内地电影', '电影类'], ['卡酷动画']]
['武当', ['武当', '空', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['飞虎神鹰', ['飞虎', '神鹰', '空', '空', '空'], ['反特/谍战', '电视剧类'], ['云南电视台卫视频道']]
['家有公婆', ['家有', '公婆', '空', '空', '空'], ['社会伦理', '电视剧类'], ['湖北电视台卫视频道']]
['极限勇士', ['极限', '勇士', '空', '空', '空'], ['真人秀', '综艺类'], ['江苏电视台新闻综合卫视频道']]
['两代会议厅', ['两代', '会议厅', '空', '空', '空'], ['专题类', '访谈'], ['上海广播电视台东方卫视频道']]
['新大头儿子和小头爸爸马年新愿', ['新', '大头', '儿子', '和', '小头'], ['电影其它', '电影类'], ['中央电视台少儿频道']]
['游艇汇', ['游艇', '汇', '空', '空', '空'], ['体育专题', '体育类'], ['黑龙江电视台卫视频道']]
['士兵突击之勇者奇兵', ['士兵', '突击', '之', '勇者', '奇兵'], ['真人秀', '综艺类'], ['云南电视台卫视频道']]
['沂蒙六姐妹', ['沂蒙', '六', '姐妹', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['党建进行时', ['党建', '进行', '时', '空', '空'], ['新闻/时事其它', '新闻/时事类'], ['BTV-新闻']]
['中国梦云岭楷模发布厅', ['中国', '梦', '云岭', '楷模', '发布厅'], ['专题类', '大型专题活动'], ['云南电视台卫视频道']]
['爱在香江', ['爱', '在', '香江', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['缉毒队', ['缉毒', '队', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['战旗', ['战旗', '空', '空', '空', '空'], ['战争', '电视剧类'], ['四川广播电视台卫视频道']]
['六刺客', ['六', '刺客', '空', '空', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['西雅图夜未眠', ['西雅图', '夜', '未眠', '空', '空'], ['其它国家电影', '电影类'], ['BTV-影视']]
['冠军家生活', ['冠军', '家', '生活', '空', '空'], ['真人秀', '综艺类'], ['海南广播电视台旅游卫视频道']]
['讲武堂', ['讲武堂', '空', '空', '空', '空'], ['教学类', '课堂/讲座'], ['中央电视台军事农业频道']]
['当代好画家', ['当代', '好', '画家', '空', '空'], ['其它类', '广告'], ['甘肃电视台卫视频道']]
['小龙大功夫之神龙战队', ['小龙', '大', '功夫', '之', '神龙'], ['动画', '青少类'], ['卡酷动画']]
['多彩贵州天气导航', ['多彩', '贵州', '天气', '导航', '空'], ['天气预报', '生活服务类'], ['贵州电视台卫视频道']]
['全国主要城市天气预报', ['全国', '主要', '城市', '天气预报', '空'], ['天气预报', '生活服务类'], ['中央电视台新闻频道']]
['幸福来敲门', ['幸福', '来', '敲门', '空', '空'], ['择偶', '综艺类'], ['天津广播电视台卫视频道']]
['兔兔危机', ['兔兔', '危机', '空', '空', '空'], ['动画', '青少类'], ['中央电视台电影频道']]
['长江7号', ['长江', '7', '号', '空', '空'], ['港澳台电影', '动画'], ['卡酷动画']]
['感动', ['感动', '空', '空', '空', '空'], ['专题类', '专题其它'], ['宁夏电视台卫视频道']]
['屈原颂', ['屈原', '颂', '空', '空', '空'], ['舞台剧', '戏剧类'], ['中央电视台中文国际频道亚洲版']]
['与卓越同行', ['与', '卓越', '同行', '空', '空'], ['专题类', '访谈'], ['浙江电视台卫视频道']]
['缉毒生死线', ['缉毒', '生死线', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['河北新闻联播', ['河北', '新闻联播', '空', '空', '空'], ['新闻/时事类', '综合新闻'], ['河北电视台卫视频道']]
['疯丫头', ['疯丫头', '空', '空', '空', '空'], ['情景喜剧', '电视剧类'], ['中央电视台少儿频道']]
['疯狂的赛车', ['疯狂', '的', '赛车', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['断刀客', ['断', '刀客', '空', '空', '空'], ['港澳台电影', '电影类'], ['BTV-影视']]
['忠烈杨家将', ['忠烈', '杨家将', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['致青春', ['致', '青春', '空', '空', '空'], ['内地电影', '电影类'], ['中央电视台电影频道']]
['赛尔号之猎天困兽', ['赛尔', '号', '之', '猎天', '困兽'], ['动画', '青少类'], ['湖南广播电视台金鹰卡通频道']]
['幽灵杀手', ['幽灵', '杀手', '空', '空', '空'], ['其它国家电影', '电影类'], ['中央电视台电影频道']]
['永不回头', ['永不', '回头', '空', '空', '空'], ['奋斗励志', '电视剧类'], ['中央电视台社会与法']]
['中国大学生篮球联赛', ['中国', '大学生', '篮球联赛', '空', '空'], ['篮球', '体育类'], ['中央电视台体育频道']]
['全民目击', ['全民', '目击', '空', '空', '空'], ['新闻评述', '新闻/时事类'], ['辽宁广播电视台卫视频道']]
['母亲母亲', ['母亲', '母亲', '空', '空', '空'], ['近代传奇', '电视剧类'], ['中央电视台电视剧频道']]
['少年阿虎', ['少年', '阿虎', '空', '空', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
['片场直击', ['片场', '直击', '空', '空', '空'], ['电影其它', '电影类'], ['中央电视台电影频道']]
['玫瑰炒肉丝', ['玫瑰', '炒', '肉丝', '空', '空'], ['都市生活', '电视剧类'], ['湖南广播电视台卫视频道']]
['人生得意衰尽欢', ['人生', '得意', '衰', '尽欢', '空'], ['港澳台电影', '电影类'], ['中央电视台电影频道']]
